State,crude_oil (thousand barrels)
United States f,"3,241,591"
Texas,"1,176,041"
North Dakota,"377,968"
California,"186,079"
Alaska,"179,169"
Oklahoma,"153,653"
New Mexico,"146,026"
Colorado,"115,897"
Wyoming,"72,544"
Louisiana,"56,432"
Kansas,"38,053"
Utah,"30,522"
Montana,"23,187"
Ohio,"22,010"
Mississippi,"20,385"
Illinois,"8,639"
Alabama,"8,107"
West Virginia,"7,486"
Pennsylvania,"6,306"
Michigan,"5,616"
Arkansas,"5,467"
Kentucky,"2,595"
Nebraska,"2,258"
Florida,"1,934"
Indiana,"1,817"
South Dakota,"1,407"
Nevada,277
Tennessee,257
New York,222
Idaho,215
Missouri,123
Arizona,8
Virginia,7
